Column	adipocyte	cd4	MVEC	m1_macro	m2_macro	P.value	Pearson.Correlation	RMSE
SRR1361174	0.605988180754071	0.0165729332560321	0.375186519573466	0.000304966591725545	0.00194739982470583	0.00100502512562814	0.439628010150975	1.02376028317635
SRR1361522	0.378335740315835	0.00536934971837641	0.583882138507988	0	0.0324127714578008	0.0050251256281407	0.289499586387329	1.12772160269509
SRR1361652	0.330063438608711	0.0496416793597799	0.573031211832056	0.00446935168536375	0.0427943185140893	0	0.58067881080481	0.85369945898912
SRR1362310	0.409918302854555	0	0.434433880065339	0	0.155647817080106	0.00201005025125628	0.379359382725947	1.01258770543973
SRR1362866	0.434126563871996	0	0.355572491374261	0	0.210300944753743	0.00301507537688442	0.318134319672509	1.04718674395622
SRR1363858	0.743436644957946	0.0393486236482468	0.148898967357429	0.000522614802757739	0.0677931492336206	0.00100502512562814	0.42984804025302	1.06613690136846
SRR1363968	0.618764762103607	0	0.346698416121979	5.25168129790272e-05	0.0344843049614352	0	0.464623797823998	1.00108659169745
SRR1365291	0.388618826448478	0	0.417650640451834	0	0.193730533099689	0.0180904522613065	0.206807315197984	1.12578664735306
SRR1366648	0.548915483349796	0	0.451084516650204	0	0	0.00301507537688442	0.336995135069043	1.10894265313456
SRR1367825	0.708347984680771	0	0.291647656331429	0	0	0.00301507537688442	0.321818687448722	1.16647214859907
SRR1368597	0.437830253934241	0	0.516151401382479	0	0.0460183446832803	0.014070351758794	0.230772592664748	1.16590563054512
SRR1369196	0.687195808114056	0	0.20264694071142	0	0.110157251174524	0.00201005025125628	0.364021142671303	1.10136328847429
SRR1370329	0.657681883330201	0	0.317263800724081	0	0.0250543159457179	0	0.664053331528851	0.804161795501393
SRR1373694	0.81570420270814	0	0.155642238994446	0	0.028653558297414	0.00301507537688442	0.353048862041425	1.1889365804596
SRR1373746	0.621454257148424	0	0.282185584610016	0	0.0963601582415599	0	0.567014137698497	0.890964687393923
SRR1375329	0.152220469218625	0	0.549293904569382	0.0381954776153216	0.260290148596671	0.0201005025125628	0.18526923028472	1.12911376830048
SRR1376939	0.530152133531571	0	0.394986527475168	0	0.0748613389932613	0.00804020100502513	0.273565210357649	1.13139312939703
SRR1377423	0.443727767351484	0	0.475888162176231	0	0.0803840704722845	0.00603015075376884	0.279256429808284	1.11543104073094
SRR1378885	0.382662891455975	0	0.498178398463197	0	0.119158710080828	0.0120603015075377	0.244578351198465	1.12597331454172
SRR1379495	0.524482416723278	0	0.393556256997897	0	0.0819613262788244	0.00301507537688442	0.343395752735502	1.07344516620931
SRR1380393	0.577480341767469	0	0.401497865184603	0	0.021021793047928	0	0.479073069101468	0.982070580683441
SRR1380657	0.563807383778891	0	0.228136606697934	0	0.208056009523176	0.0190954773869347	0.194478494975947	1.16902238092049
SRR1380764	0.716147053603011	0	0.214893709574595	0	0.0689592368223934	0	0.679266933760776	0.796271400608816
SRR1382890	0.409284103522597	0	0.565899956897765	0.00125038970633571	0.0235655498733029	0.00201005025125628	0.373147154993697	1.06338668069315
SRR1383699	0.597996598262789	0	0.313927590526862	0	0.0880758112103494	0.00201005025125628	0.410862278591553	1.03213522872458
SRR1384395	0.701440004685309	0	0.246985239234752	0	0.0515747560799387	0.0050251256281407	0.289255491540528	1.18011898249133
SRR1385501	0.591326561385363	0	0.233842597966845	0	0.174830840647792	0.00301507537688442	0.340539964318545	1.07383677919089
SRR1386689	0.729632938262113	0	0.232297093675629	0	0.0380699680622583	0.00100502512562814	0.438813212722858	1.06297783647017
SRR1387856	0.765070315753337	0.0279525041426683	0.142243914179869	0.00466365554703043	0.0600696103770961	0	0.821286331597703	0.605825688245659
SRR1387921	0.561058248261594	0	0.39355046907067	0	0.0453912826677359	0	0.487665123251205	0.964912637808545
SRR1388354	0.581527426532006	0	0.35469384405348	0.00508693855037415	0.0586917908641399	0	0.529922517661176	0.924167267959861
SRR1395554	0.713302008018382	0	0.22255276585915	0	0.0641452261224689	0	0.530471519867391	0.962377101982854
SRR1395575	0.569195047659707	0	0.365136909407877	0	0.065668042932416	0.00402010050251256	0.303341242100005	1.1191756394712
SRR1396616	0.350822237523611	0	0.510431217136352	0	0.138746545340037	0.0291457286432161	0.155658339964785	1.18204038747657
SRR1397366	0.631948062998373	0.00516689362493847	0.342882009973784	0	0.0200030334029044	0.00100502512562814	0.425020355885615	1.04272897532043
SRR1398924	0.692389898356478	0.0779378664421348	0.147201729407972	0.0068722486830313	0.0755982571103839	0	0.791339592857337	0.627871264570539
SRR1399797	0.645000254646335	0	0.229112540008979	0	0.125887205344686	0	0.451204614034896	1.00508456796862
SRR1399971	0.591639501412534	0	0.349809527474813	0	0.0585509711126533	0	0.545316833163779	0.912364269872445
SRR1400202	0.603857685941725	0.0037688382911729	0.280621749860266	0	0.111751725906836	0	0.502554966549128	0.946076721717524
SRR1400847	0.694585265122231	0	0.25631882573042	0	0.0490959091473489	0	0.575392346045102	0.910679672899203
SRR1400910	0.449738099729198	0	0.452397948642293	0	0.0978639516285094	0	0.686496162334235	0.742337433809529
SRR1400974	0.314741456270438	0	0.685258543729562	0	0	0.0190954773869347	0.190183182734366	1.23777231691967
SRR1401211	0.614122683617526	0	0.354206314182178	0	0.031671002200296	0	0.442606380977025	1.02084192978587
SRR1401468	0.847881811919228	0.0247572108066069	0.0927276981146228	0.000777119727560605	0.0338561594319817	0	0.766908263572846	0.729800286595233
SRR1402962	0.645924582630785	0	0.24075754177092	0	0.113317875598294	0	0.57274899545585	0.88962420832084
SRR1403005	0.680984065528788	0	0.292515847387392	0	0.0265000870838194	0.00201005025125628	0.395659398160308	1.0850842353628
SRR1404209	0.303252083872889	0	0.556117535509852	0	0.140630380617259	0.0150753768844221	0.222393736748813	1.14055204714243
SRR1405165	0.243139868202708	0	0.422629172452692	0	0.3342309593446	0.0190954773869347	0.200951392738784	1.09161602671238
SRR1405331	0.368386782127157	0	0.440341719525048	0	0.191271498347795	0.0291457286432161	0.151904266414889	1.16277541458852
SRR1405525	0.627098520258017	0.0115271332173901	0.254001872230858	0.000203787977617865	0.107168686316118	0	0.588141128256284	0.866960276767023
SRR1405547	0.599638996645642	0	0.363694742736471	0	0.0366662606178868	0.00804020100502513	0.273417035719439	1.15909277196601
SRR1405660	0.134101101051841	0	0.650559981862438	0	0.215338917085721	0.0150753768844221	0.219470860174597	1.15438013546688
SRR1407250	0.647581874822867	0.0143589888581448	0.136643369786608	0	0.20141576653238	0	0.540552905455536	0.913419201767333
SRR1408393	0.500887688434715	0	0.453287743870591	0	0.0458245676946937	0.0190954773869347	0.193073152028822	1.19755991466136
SRR1408471	0.4866749156675	0	0.461438897661224	0	0.0518861866712761	0.00402010050251256	0.308715537179155	1.10587776585927
SRR1409374	0.677074829660057	0.00216099743669247	0.289802030821615	0.00268804288175085	0.0282740991998849	0	0.689823789787252	0.776041041641402
SRR1409854	0.531360046116285	0	0.321560123271561	0	0.147079830612154	0.00402010050251256	0.292061021577466	1.09839245947947
SRR1410678	0.481486661472814	0	0.425192783879897	0	0.0933205546472893	0.00301507537688442	0.354570012837937	1.05525144551693
SRR1413329	0.400164583445498	0	0.425350541511511	0	0.174484875042992	0.0120603015075377	0.246027912005771	1.10530429802898
SRR1413436	0.346596975053002	0	0.522268625932274	0	0.131134399014724	0.00301507537688442	0.329148820870507	1.0604551215846
SRR1413501	0.268479111310064	5.51457810003146e-05	0.690593638104892	5.99180990545951e-05	0.0408121867049885	0.0120603015075377	0.245948167771587	1.1833903119453
SRR1413541	0.468111658733595	0.0143109008347123	0.417720637241799	0.00016943185643321	0.0996873713334604	0.00603015075376884	0.283138692659472	1.10132391835
SRR1413602	0.402776176335998	0	0.433516298711261	0	0.163707524952741	0.0190954773869347	0.196295589262678	1.14351896950817
SRR1414229	0.8661098459915	0.0520497664820133	0	0.00558115797569198	0.0762592295507949	0	0.879792920253319	0.537410369849293
SRR1415004	0.435559029977812	0	0.449499694728718	0	0.11494127529347	0.00301507537688442	0.340739901576121	1.05585625967198
SRR1415398	0.262864211704653	0	0.639704718505497	0	0.0974310697898496	0.04321608040201	0.118504139453099	1.24582856143944
SRR1416248	0.572029494787961	0	0.339823623712255	0.000152245422550787	0.0879946360772339	0	0.603198142047022	0.844648241782407
SRR1416313	0.619182794600363	0	0.320148653487796	0	0.0606685519118414	0.00301507537688442	0.341196343497138	1.10345905970598
SRR1416654	0.683948827128019	0.00591809357546307	0.250946050352815	0.000691865598359921	0.058495163345343	0.00201005025125628	0.383942394954593	1.0886716056327
SRR1417342	0.322065171746451	0	0.642878666499073	0.00514711949272126	0.0299090422617547	0.00301507537688442	0.327995261385539	1.10726528643193
SRR1419917	0.350777082907548	0	0.595947680692796	0	0.0532752363996555	0.00201005025125628	0.392709316985331	1.04033792133716
SRR1420067	0.493916853209117	0	0.379780920561858	0	0.126302226229025	0.00201005025125628	0.412672755923158	1.0007984200459
SRR1420109	0.196469780374552	0	0.63827297177334	0	0.165257247852108	0.0402010050251256	0.132606856352889	1.21886642352076
SRR1420276	0.569645911371772	0	0.281650961660901	0	0.148703126967327	0.0100502512562814	0.259295634296323	1.13364861367123
SRR1420873	0.646284828272028	0	0.17409443532554	0	0.179620736402431	0.00201005025125628	0.367604091955306	1.07291810380225
SRR1429678	0.376459742691387	0.00752100668604722	0.4212117048961	0.000117504101081428	0.194690041625384	0.0100502512562814	0.25103107740108	1.09148430158446
SRR1429846	0.642623088836525	0.012810182112054	0.315166507973508	0	0.0294002210779125	0	0.477722368450277	0.992723365011837
SRR1430066	0.631187086282373	0	0.368812913717627	0	0	0.00301507537688442	0.317747342261152	1.14275171349738
SRR1430333	0.518904126958235	0	0.278105148399988	0	0.202990724641777	0.00201005025125628	0.368461956295024	1.02624095798475
SRR1431037	0.654104388836006	0	0.302715436914882	0	0.0431801742491124	0	0.455506723595217	1.01777339424557
SRR1431757	0.511093411418711	0	0.351815579221553	0	0.137091009359736	0.0130653266331658	0.233176478636708	1.13978000603003
SRR1432253	0.428967130592598	0	0.430266845037809	0	0.140766024369593	0.0050251256281407	0.286701529526103	1.08822873016642
SRR1433004	0.711767967745807	0	0.189556224780172	0	0.0986758074740215	0	0.522156170232815	0.966231611924244
SRR1433392	0.44244337775444	0	0.458048454011349	0	0.0995081682342113	0.0150753768844221	0.220580553454532	1.1516075874969
